id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_S706005,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706010,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706017,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706020,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706021,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706022,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706030,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706040,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706045,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706050,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S707803,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S707804,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S709220,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710004,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710007,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710009,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710029,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710032,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710036,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710042,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710058,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C710059,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
